Time Bucket (America/Chicago),PruebaSensor_2 (kWhs),PruebaSensor_3 (kWhs),Dates,Load,Weekday,Weekday_num,Hour,Day,Month,DecimalDate
02/07/2022 12:00:00,0.3719,0.0902,2022-02-07 12:00:00,0.4621,Monday,0,12,7,2,2022.1027397260275
02/07/2022 13:00:00,0.5354,0.5896,2022-02-07 13:00:00,1.125,Monday,0,13,7,2,2022.1028538812786
02/07/2022 14:00:00,0.3987,0.585,2022-02-07 14:00:00,0.9837,Monday,0,14,7,2,2022.1029680365298
02/07/2022 15:00:00,0.2135,0.522,2022-02-07 15:00:00,0.7355,Monday,0,15,7,2,2022.103082191781
02/07/2022 16:00:00,0.0691,0.2333,2022-02-07 16:00:00,0.3024,Monday,0,16,7,2,2022.103196347032
02/07/2022 17:00:00,0.0018,0.1369,2022-02-07 17:00:00,0.1387,Monday,0,17,7,2,2022.1033105022832
02/07/2022 18:00:00,0.2355,0.1094,2022-02-07 18:00:00,0.3449,Monday,0,18,7,2,2022.1034246575343
02/07/2022 19:00:00,0.5148,0.2166,2022-02-07 19:00:00,0.7314,Monday,0,19,7,2,2022.1035388127855
02/07/2022 20:00:00,0.4051,0.1282,2022-02-07 20:00:00,0.5333,Monday,0,20,7,2,2022.1036529680366
02/07/2022 21:00:00,0.4123,0.1144,2022-02-07 21:00:00,0.5267,Monday,0,21,7,2,2022.1037671232878
02/07/2022 22:00:00,0.3233,0.2896,2022-02-07 22:00:00,0.6129,Monday,0,22,7,2,2022.103881278539
02/07/2022 23:00:00,0.0055,0.0943,2022-02-07 23:00:00,0.0998,Monday,0,23,7,2,2022.10399543379
02/08/2022 00:00:00,0.0,0.1152,2022-02-08 00:00:00,0.1152,Tuesday,1,0,8,2,2022.1041095890412
02/08/2022 01:00:00,0.0,0.1112,2022-02-08 01:00:00,0.1112,Tuesday,1,1,8,2,2022.1042237442923
02/08/2022 02:00:00,0.0,0.1111,2022-02-08 02:00:00,0.1111,Tuesday,1,2,8,2,2022.1043378995435
02/08/2022 03:00:00,0.0,0.111,2022-02-08 03:00:00,0.111,Tuesday,1,3,8,2,2022.1044520547946
02/08/2022 04:00:00,0.0,0.0945,2022-02-08 04:00:00,0.0945,Tuesday,1,4,8,2,2022.1045662100457
02/08/2022 05:00:00,0.0,0.1113,2022-02-08 05:00:00,0.1113,Tuesday,1,5,8,2,2022.1046803652969
02/08/2022 06:00:00,0.036,0.1104,2022-02-08 06:00:00,0.1464,Tuesday,1,6,8,2,2022.104794520548
02/08/2022 07:00:00,0.1606,0.0933,2022-02-08 07:00:00,0.2539,Tuesday,1,7,8,2,2022.1049086757992
02/08/2022 08:00:00,0.4611,0.4956,2022-02-08 08:00:00,0.9567,Tuesday,1,8,8,2,2022.1050228310503
02/08/2022 09:00:00,0.4611,0.5001,2022-02-08 09:00:00,0.9612,Tuesday,1,9,8,2,2022.1051369863014
02/08/2022 10:00:00,0.4611,0.5001,2022-02-08 10:00:00,0.9612,Tuesday,1,10,8,2,2022.1052511415526
02/08/2022 11:00:00,0.4611,0.5001,2022-02-08 11:00:00,0.9612,Tuesday,1,11,8,2,2022.1053652968037
02/08/2022 12:00:00,0.4611,0.5001,2022-02-08 12:00:00,0.9612,Tuesday,1,12,8,2,2022.1054794520549
02/08/2022 13:00:00,0.4611,0.5001,2022-02-08 13:00:00,0.9612,Tuesday,1,13,8,2,2022.105593607306
02/08/2022 14:00:00,0.4611,0.5001,2022-02-08 14:00:00,0.9612,Tuesday,1,14,8,2,2022.1057077625571
02/08/2022 15:00:00,0.4611,0.5001,2022-02-08 15:00:00,0.9612,Tuesday,1,15,8,2,2022.1058219178083
02/08/2022 16:00:00,0.0666,0.0,2022-02-08 16:00:00,0.0666,Tuesday,1,16,8,2,2022.1059360730594
02/08/2022 17:00:00,0.0001,0.1255,2022-02-08 17:00:00,0.1256,Tuesday,1,17,8,2,2022.1060502283106
02/08/2022 18:00:00,0.0,0.389,2022-02-08 18:00:00,0.389,Tuesday,1,18,8,2,2022.1061643835617
02/08/2022 19:00:00,0.1784,0.5299,2022-02-08 19:00:00,0.7083,Tuesday,1,19,8,2,2022.1062785388128
02/08/2022 20:00:00,0.3118,0.148,2022-02-08 20:00:00,0.4598,Tuesday,1,20,8,2,2022.106392694064
02/08/2022 21:00:00,0.3356,0.1457,2022-02-08 21:00:00,0.4813,Tuesday,1,21,8,2,2022.106506849315
02/08/2022 22:00:00,0.2469,0.261,2022-02-08 22:00:00,0.5079,Tuesday,1,22,8,2,2022.1066210045663
02/08/2022 23:00:00,0.0019,0.3028,2022-02-08 23:00:00,0.3047,Tuesday,1,23,8,2,2022.1067351598174
02/09/2022 00:00:00,0.0,0.2852,2022-02-09 00:00:00,0.2852,Wednesday,2,0,9,2,2022.1068493150685
02/09/2022 01:00:00,0.0524,0.2057,2022-02-09 01:00:00,0.2581,Wednesday,2,1,9,2,2022.1069634703197
02/09/2022 02:00:00,0.1605,0.1768,2022-02-09 02:00:00,0.33730000000000004,Wednesday,2,2,9,2,2022.1070776255708
02/09/2022 03:00:00,0.1591,0.0937,2022-02-09 03:00:00,0.2528,Wednesday,2,3,9,2,2022.107191780822
02/09/2022 04:00:00,0.1591,0.1697,2022-02-09 04:00:00,0.3288,Wednesday,2,4,9,2,2022.107305936073
02/09/2022 05:00:00,0.1589,0.0735,2022-02-09 05:00:00,0.2324,Wednesday,2,5,9,2,2022.1074200913242
02/09/2022 06:00:00,0.1592,0.0989,2022-02-09 06:00:00,0.2581,Wednesday,2,6,9,2,2022.1075342465754
02/09/2022 07:00:00,0.1591,0.1262,2022-02-09 07:00:00,0.2853,Wednesday,2,7,9,2,2022.1076484018265
02/09/2022 08:00:00,0.1973,0.1731,2022-02-09 08:00:00,0.3704,Wednesday,2,8,9,2,2022.1077625570776
02/09/2022 09:00:00,0.1244,0.2936,2022-02-09 09:00:00,0.41800000000000004,Wednesday,2,9,9,2,2022.1078767123288
02/09/2022 10:00:00,0.0001,0.1994,2022-02-09 10:00:00,0.19949999999999998,Wednesday,2,10,9,2,2022.10799086758
02/09/2022 11:00:00,0.0002,0.1053,2022-02-09 11:00:00,0.10550000000000001,Wednesday,2,11,9,2,2022.108105022831
02/09/2022 12:00:00,0.0,0.1035,2022-02-09 12:00:00,0.1035,Wednesday,2,12,9,2,2022.1082191780822
02/09/2022 13:00:00,0.0013,0.2091,2022-02-09 13:00:00,0.2104,Wednesday,2,13,9,2,2022.1083333333333
02/09/2022 14:00:00,0.0045,0.0895,2022-02-09 14:00:00,0.094,Wednesday,2,14,9,2,2022.1084474885845
02/09/2022 15:00:00,0.067,0.1101,2022-02-09 15:00:00,0.1771,Wednesday,2,15,9,2,2022.1085616438356
02/09/2022 16:00:00,0.0664,0.2871,2022-02-09 16:00:00,0.35350000000000004,Wednesday,2,16,9,2,2022.1086757990868
02/09/2022 17:00:00,0.0258,0.1762,2022-02-09 17:00:00,0.20199999999999999,Wednesday,2,17,9,2,2022.108789954338
02/09/2022 18:00:00,0.2076,0.3859,2022-02-09 18:00:00,0.5935,Wednesday,2,18,9,2,2022.108904109589
02/09/2022 19:00:00,0.3085,0.4708,2022-02-09 19:00:00,0.7793,Wednesday,2,19,9,2,2022.1090182648402
02/09/2022 20:00:00,0.3407,0.4588,2022-02-09 20:00:00,0.7995,Wednesday,2,20,9,2,2022.1091324200913
02/09/2022 21:00:00,0.3709,0.1823,2022-02-09 21:00:00,0.5532,Wednesday,2,21,9,2,2022.1092465753425
02/09/2022 22:00:00,0.2273,0.231,2022-02-09 22:00:00,0.45830000000000004,Wednesday,2,22,9,2,2022.1093607305936
02/09/2022 23:00:00,0.1002,0.0957,2022-02-09 23:00:00,0.1959,Wednesday,2,23,9,2,2022.1094748858447
